product_id,prod_desc,world_group,division_code,division_desc
53,Dining Textiles,Home & Seasonal,bb,Bed/Bath
24,Ties,baby/kids/men,me,Men
281,Restaurant / Café,food,hr,Café/Restaurant
181,Small Leather Goods,women,wo,Women
451,Customise,Miscellaneous,dv,Miscellaneous
603,Ict & Gadgets,"Celebration, Study & Beauty",cb,Celebration
54,Kitchen Textiles,Home & Seasonal,bb,Bed/Bath
111,Dental Care,"Celebration, Study & Beauty",be,Beauty & Care
105,Old Dutch,food,hb,Non-Perishable
152,Toys / Videos,"Celebration, Study & Beauty",to,Toys
930,Va Main Group Cat 30,newservices&innovate,ns,Newservices&Innovate
306,Children'S Tops,baby/kids/men,ki,Kids
279,Cold Meats,food,ve,Fresh
702,Books,"Celebration, Study & Beauty",to,Toys
205,Clean And Fresh,Home & Seasonal,es,Essentials
524,Paint,Home & Seasonal,es,Essentials
196,Ladies Underwear,women,wo,Women
650,Party&Giftpackaging,"Celebration, Study & Beauty",cb,Celebration
17,Theme Accessories,women,wo,Women
116,Sun Care,"Celebration, Study & Beauty",be,Beauty & Care
173,Wines,food,hb,Non-Perishable
149,Schrijfwaren Merken,"Celebration, Study & Beauty",st,Study
147,Gift Wrapping,"Celebration, Study & Beauty",cb,Celebration
413,Holiday Articles,Home & Seasonal,se,Seasonal
71,Net Curtains,Home & Seasonal,li,Living
151,Toys,"Celebration, Study & Beauty",to,Toys
262,Impulse Purchases,food,ve,Fresh
171,Warm Drinks,food,hb,Non-Perishable
184,Childrens Accessori,baby/kids/men,ki,Kids
387,Photoshop Materials,photo services ,ps,Photo Services 
145,School Accessories,"Celebration, Study & Beauty",st,Study
422,Postage Stamp / Tel,newservices&innovate,ns,Newservices&Innovate
232,Ladies Nightdresses,women,wo,Women
388,Personalisation Art.,photo services ,ps,Photo Services 
