store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
138,Nijverdal,B ,7442,0,0,Nijverdal,Hellendoorn,Overijssel,north,278
115,Baarn,B ,3741,0,0,Baarn,Baarn,Utrecht,middle,260
151,Harlingen,B ,8861,0,0,Harlingen,Harlingen,Friesland,north,270
258,Duiven,A ,6921,0,0,Duiven,Duiven,Gelderland,south,275
65,Alphen a/d Rijn,C ,2406,0,0,Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland,middle,240
219,Alkmaar-Noord,B ,1825,0,0,Alkmaar,Alkmaar,Noord-Holland,north,240
152,Emmeloord,B ,8302,0,0,Emmeloord,Noordoostpolder,Flevoland,north,273
33,Roermond,C ,6041,0,0,Roermond,Roermond,Limburg,south,377
162,Hoofddorp,C ,2132,0,0,Hoofddorp,Haarlemmermeer,Noord-Holland,north,240
58,Eindhoven-Woensel,C ,5625,0,0,Eindhoven,Eindhoven,Noord-Brabant,south,370
103,Wassenaar,B ,2242,0,0,Wassenaar,Wassenaar,Zuid-Holland,middle,210
69,Beverwijk,B ,1941,0,0,Beverwijk,Beverwijk,Noord-Holland,north,235
16,Maastricht-Centrum,D ,6211,0,0,Maastricht,Maastricht,Limburg,south,380
60,Assen,B ,9401,0,0,Assen,Assen,Drenthe,north,280
274,Berkel & Rodenrijs,A ,2651,0,0,Berkel en Rodenrijs,Berkel en Rodenrijs,Zuid-Holland,middle,344
637,Born,AA,6121,0,0,Born,Sittard Geleen,Limburg,south,380
191,Boxtel,B ,5281,0,0,Boxtel,Boxtel,Noord-Brabant,south,370
88,Outlet D'Haag Megastores,B ,2521,0,0,Den Haag,s Gravenhage,Zuid-Holland,middle,210
179,Oosterwolde,B ,8431,0,0,Oosterwolde (FRL),Ooststellingwerf,Friesland,north,280
145,Venray,C ,5801,0,0,Venray,Venray,Limburg,south,391
30,Alkmaar,C ,1811,0,0,Alkmaar,Alkmaar,Noord-Holland,north,240
47,Amersfoort-Centrum,C ,3811,0,0,Amersfoort,Amersfoort,Utrecht,middle,260
326,Lichtenvoorde,A ,7131,0,0,Lichtenvoorde,Groenlo,Gelderland,middle,283
203,Sassenheim,B ,2171,0,0,Sassenheim,Teylingen,Zuid-Holland,middle,240
327,Heythuysen,A ,6093,0,0,Heijthuijsen,Heythuysen,Limburg,south,377
